epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0507,3.31461,4.23405,4.25923,0.00176,0.58442,0.02101,0.00333,3.73666,4.31904,4.15975,0.00020004,0.00020004,0.00020004
2,82.286,3.20542,4.121,4.11601,0.0022,0.70581,0.0213,0.0033,3.72623,4.30658,4.15928,0.000412624,0.000412624,0.000412624
3,120.82,2.84453,3.88987,3.95481,0.0022,0.68256,0.01314,0.00225,3.72433,4.25552,4.1618,0.000620917,0.000620917,0.000620917
4,156.575,2.63519,3.6928,3.70442,0.00215,0.65174,0.01615,0.00264,3.98464,4.28126,4.32529,0.00082492,0.00082492,0.00082492
5,192.196,2.47111,3.54525,3.50916,0.00164,0.54116,0.01157,0.00164,4.14546,4.25143,4.48624,0.00102463,0.00102463,0.00102463
6,230.173,2.53848,3.39244,3.39335,0.00211,0.35977,0.00676,0.0009,4.2422,4.22947,4.67259,0.00122005,0.00122005,0.00122005
7,268.133,2.40069,3.33252,3.16808,0.00088,0.31488,0.00323,0.00038,4.12016,4.65006,4.60875,0.00141118,0.00141118,0.00141118
8,306.432,2.37563,3.19212,3.1287,0.00221,0.25988,0.00475,0.0006,4.01907,4.12924,4.58175,0.00155148,0.00155148,0.00155148
9,344.719,2.32728,3.14279,3.02927,0.10334,0.1774,0.0491,0.01075,3.48117,8.9816,4.61421,0.00153497,0.00153497,0.00153497
10,383.041,2.36453,3.03501,3.01971,0.58364,0.43605,0.1726,0.0452,2.40422,9.25703,2.97939,0.00151847,0.00151847,0.00151847
11,421.327,2.27384,2.95143,2.935,0.59029,0.37791,0.22666,0.04415,2.61358,10.8069,3.2558,0.00150197,0.00150197,0.00150197
12,459.801,2.30762,2.81468,2.88842,0.09244,0.91,0.35859,0.12224,2.11214,32.7099,2.69189,0.00148546,0.00148546,0.00148546
13,496.64,2.26969,2.83203,2.88491,0.15886,0.695,0.36924,0.14782,1.74976,20.665,2.49903,0.00146896,0.00146896,0.00146896
14,537.276,2.25049,2.77877,2.85651,0.10476,0.7,0.24477,0.07857,2.39473,19.4188,2.62012,0.00145246,0.00145246,0.00145246
15,577.109,2.17889,2.7479,2.79535,0.18091,0.62919,0.25121,0.09071,1.8154,6.91127,2.30457,0.00143595,0.00143595,0.00143595
16,611.535,2.20151,2.66039,2.7769,0.25697,0.58503,0.2927,0.08951,2.40657,4.26128,2.44406,0.00141945,0.00141945,0.00141945
17,645.667,2.19318,2.59354,2.7309,0.13733,0.58349,0.21165,0.04788,2.62909,19.467,3.2685,0.00140295,0.00140295,0.00140295
18,679.102,2.06681,2.50552,2.66673,0.17499,0.6343,0.29361,0.06871,2.4843,7.69382,3.03069,0.00138644,0.00138644,0.00138644
19,712.039,2.10219,2.52044,2.6805,0.31718,0.89919,0.48849,0.15539,2.06488,2.17988,2.08016,0.00136994,0.00136994,0.00136994
20,745.311,2.03471,2.47327,2.58574,0.87093,0.38953,0.51493,0.20322,1.6395,6.13496,2.23092,0.00135344,0.00135344,0.00135344
21,778.462,2.01889,2.4516,2.60264,0.3495,0.50829,0.48715,0.19176,1.76041,2.61609,2.16092,0.00133693,0.00133693,0.00133693
22,811.67,1.90272,2.37466,2.48726,0.82044,0.37209,0.51015,0.20346,1.6596,2.52465,2.46012,0.00132043,0.00132043,0.00132043
23,846.381,2.00367,2.41893,2.56094,0.8593,0.31977,0.43274,0.17787,1.64378,2.92806,2.31378,0.00130393,0.00130393,0.00130393
24,881.172,1.91857,2.35833,2.48009,0.52315,0.7369,0.63761,0.27136,1.64451,2.22393,1.96729,0.00128742,0.00128742,0.00128742
25,914.978,1.86988,2.27208,2.41851,0.03051,1,0.49492,0.15786,2.04032,3.24804,2.38547,0.00127092,0.00127092,0.00127092
26,948.587,1.8869,2.27585,2.42578,0.17438,0.69523,0.25801,0.05561,2.49819,3.44216,2.61851,0.00125442,0.00125442,0.00125442
27,981.615,1.89271,2.14294,2.48026,0.22648,0.34884,0.17861,0.0544,2.03991,3.05431,2.34115,0.00123791,0.00123791,0.00123791
28,1014.5,1.95176,2.24728,2.45874,0.40024,0.86767,0.5254,0.24127,1.70926,1.96284,1.90106,0.00122141,0.00122141,0.00122141
29,1047.38,1.84735,2.22464,2.44684,0.31137,0.50895,0.55925,0.22401,1.58777,2.07319,2.27773,0.00120491,0.00120491,0.00120491
30,1080.34,1.85053,2.12637,2.42324,0.61955,0.74978,0.75836,0.32594,1.44878,1.84243,2.08868,0.0011884,0.0011884,0.0011884
31,1113.7,1.84501,2.08244,2.4123,0.76389,0.41279,0.51949,0.213,1.59425,4.15625,2.19637,0.0011719,0.0011719,0.0011719
32,1146.93,1.83942,2.11644,2.36637,0.40836,0.63577,0.51949,0.22473,1.57766,1.99174,1.9469,0.0011554,0.0011554,0.0011554
33,1179.92,1.82243,2.01329,2.36278,0.3935,0.72337,0.63098,0.28597,1.48677,1.9542,1.91157,0.00113889,0.00113889,0.00113889
34,1212.93,1.77169,2.0505,2.3351,0.424,0.71919,0.63577,0.3049,1.42798,2.44461,1.99813,0.00112239,0.00112239,0.00112239
35,1246.08,1.77743,2.05546,2.38183,0.46321,0.84919,0.73004,0.30879,1.56796,1.95075,1.87061,0.00110589,0.00110589,0.00110589
36,1279.05,1.74965,2.01743,2.32233,0.69137,0.72013,0.79473,0.38349,1.49412,1.69278,1.78201,0.00108938,0.00108938,0.00108938
37,1312.12,1.72909,1.93004,2.29155,0.68137,0.75047,0.79328,0.39299,1.4162,1.56661,1.84669,0.00107288,0.00107288,0.00107288
38,1345.26,1.77762,1.97843,2.30327,0.58561,0.78846,0.84272,0.29775,1.99279,2.02184,2.25545,0.00105638,0.00105638,0.00105638
39,1378.18,1.71059,1.85869,2.24875,0.63558,0.9493,0.84232,0.37515,1.53368,1.65575,2.04351,0.00103987,0.00103987,0.00103987
40,1411.3,1.7732,1.90908,2.28222,0.52352,0.69256,0.7316,0.32195,1.5261,2.0431,2.00709,0.00102337,0.00102337,0.00102337
41,1444.21,1.73435,1.83099,2.26368,0.55093,0.63849,0.51409,0.17216,1.74299,2.83451,2.03613,0.00100687,0.00100687,0.00100687
42,1477.1,1.75243,1.87902,2.29265,0.69266,0.405,0.55876,0.2791,1.42894,2.94922,1.7944,0.000990365,0.000990365,0.000990365
43,1510.34,1.71863,1.81385,2.30156,0.57799,0.69407,0.61979,0.28113,1.5849,1.86048,2.07747,0.000973861,0.000973861,0.000973861
44,1543.55,1.68795,1.80618,2.25953,0.68928,0.62407,0.6248,0.12516,2.23964,2.52042,2.65497,0.000957358,0.000957358,0.000957358
45,1576.43,1.70039,1.81052,2.24871,0.73253,0.74337,0.84056,0.41492,1.50565,1.54929,1.76656,0.000940855,0.000940855,0.000940855
46,1609.53,1.72075,1.7289,2.22167,0.75255,0.8407,0.7626,0.32964,1.67506,1.76672,2.11333,0.000924352,0.000924352,0.000924352
47,1642.42,1.72008,1.75708,2.20023,0.64597,0.83103,0.67314,0.29447,1.50366,1.59474,2.0784,0.000907848,0.000907848,0.000907848
48,1675.41,1.70519,1.66153,2.17501,0.81418,0.88627,0.87903,0.40809,1.6019,1.41905,1.89464,0.000891345,0.000891345,0.000891345
49,1708.41,1.67698,1.72128,2.18868,0.82596,0.93919,0.91634,0.4025,1.76399,1.29497,1.9335,0.000874842,0.000874842,0.000874842
50,1741.38,1.63435,1.67807,2.15313,0.83657,0.92,0.88923,0.40267,1.73704,1.2374,1.82147,0.000858338,0.000858338,0.000858338
51,1774.3,1.61488,1.70984,2.15424,0.8381,0.93,0.89981,0.45087,1.34721,1.58934,1.70889,0.000841835,0.000841835,0.000841835
52,1807.58,1.62402,1.72847,2.1677,0.73863,0.6757,0.74327,0.17778,2.79762,1.56071,2.5149,0.000825332,0.000825332,0.000825332
53,1840.68,1.60659,1.68007,2.15621,0.56359,0.69709,0.70763,0.17692,2.79469,1.51464,2.42139,0.000808828,0.000808828,0.000808828
54,1873.15,1.60206,1.69824,2.15989,0.82495,0.84557,0.8855,0.44184,1.35412,1.31618,1.68203,0.000792325,0.000792325,0.000792325
55,1905.71,1.63193,1.71757,2.15739,0.73456,0.69232,0.86119,0.42418,1.39171,1.64544,1.7062,0.000775822,0.000775822,0.000775822
56,1938.36,1.54398,1.60528,2.07197,0.80508,0.7515,0.84894,0.3803,1.54441,1.40648,1.83412,0.000759318,0.000759318,0.000759318
57,1970.94,1.60863,1.63257,2.09717,0.73584,0.73015,0.83822,0.39352,1.41022,1.4221,1.80413,0.000742815,0.000742815,0.000742815
58,2003.49,1.57535,1.55303,2.11183,0.86888,0.89819,0.8862,0.42682,1.33789,1.50092,1.7118,0.000726312,0.000726312,0.000726312
59,2036.19,1.55571,1.59494,2.12776,0.86366,0.91326,0.89331,0.42446,1.34933,1.49707,1.70876,0.000709809,0.000709809,0.000709809
60,2068.79,1.59059,1.51101,2.07182,0.86354,0.86047,0.8733,0.42268,1.50735,1.35108,1.74702,0.000693305,0.000693305,0.000693305
61,2101.38,1.57127,1.54611,2.07071,0.86754,0.89593,0.88379,0.41487,1.54405,1.30962,1.84558,0.000676802,0.000676802,0.000676802
62,2134.03,1.5867,1.6315,2.13547,0.69144,0.74719,0.8976,0.42298,1.45152,1.50874,1.8287,0.000660299,0.000660299,0.000660299
63,2166.55,1.63976,1.57684,2.12422,0.55089,0.78047,0.84552,0.40343,1.42554,1.7893,1.72835,0.000643795,0.000643795,0.000643795
64,2199.27,1.54614,1.54571,2.06723,0.86165,0.89595,0.86849,0.40909,1.44358,1.45415,1.83765,0.000627292,0.000627292,0.000627292
65,2231.82,1.55017,1.5597,2.07091,0.84983,0.89,0.8655,0.42516,1.39313,1.44908,1.83315,0.000610789,0.000610789,0.000610789
66,2264.47,1.56065,1.52627,2.11028,0.88073,0.93,0.92157,0.4642,1.36223,1.26916,1.71468,0.000594286,0.000594286,0.000594286
67,2297.18,1.58739,1.48617,2.08869,0.84839,0.91,0.9009,0.42896,1.3937,1.24569,1.75076,0.000577782,0.000577782,0.000577782
68,2329.77,1.6024,1.58371,2.16511,0.85729,0.89666,0.89633,0.46054,1.41576,1.204,1.67951,0.000561279,0.000561279,0.000561279
69,2362.34,1.53757,1.55575,2.10381,0.73374,0.75929,0.8926,0.43681,1.46013,1.4497,1.74774,0.000544776,0.000544776,0.000544776
70,2395.04,1.57817,1.50664,2.07135,0.82506,0.87578,0.9234,0.46305,1.44831,1.40419,1.76222,0.000528272,0.000528272,0.000528272
71,2427.7,1.47987,1.46792,1.9771,0.86332,0.85726,0.88619,0.41282,1.43451,1.40571,1.83069,0.000511769,0.000511769,0.000511769
72,2460.34,1.53781,1.48834,2.00583,0.89739,0.9487,0.91791,0.46719,1.43691,1.18975,1.70914,0.000495266,0.000495266,0.000495266
73,2493.17,1.55685,1.55085,2.03653,0.85955,0.915,0.92653,0.40393,1.58083,1.33,1.8957,0.000478762,0.000478762,0.000478762
74,2525.79,1.53667,1.51815,2.05342,0.84359,0.965,0.93535,0.47806,1.35598,1.19925,1.72067,0.000462259,0.000462259,0.000462259
75,2558.56,1.50486,1.5026,2.03648,0.85881,0.90756,0.86582,0.44436,1.47259,1.24891,1.79082,0.000445756,0.000445756,0.000445756
76,2591.07,1.51745,1.43517,2.03231,0.88914,0.96,0.93346,0.46321,1.52627,1.11471,1.73862,0.000429253,0.000429253,0.000429253
77,2623.72,1.5363,1.48026,2.05853,0.90862,0.97073,0.94303,0.47649,1.49127,1.12211,1.70551,0.000412749,0.000412749,0.000412749
78,2656.33,1.48271,1.43985,1.97421,0.8911,0.97,0.93886,0.48037,1.4051,1.12028,1.63779,0.000396246,0.000396246,0.000396246
79,2689.07,1.46469,1.3917,1.98885,0.87586,0.965,0.91977,0.44658,1.42244,1.15051,1.75624,0.000379743,0.000379743,0.000379743
80,2721.77,1.48649,1.42333,2.02037,0.87572,0.92933,0.9173,0.46211,1.33689,1.19677,1.703,0.000363239,0.000363239,0.000363239
81,2754.22,1.52824,1.43287,2.07136,0.88328,0.91496,0.92293,0.49295,1.35865,1.11802,1.62502,0.000346736,0.000346736,0.000346736
82,2786.8,1.50144,1.4559,2.02795,0.89412,0.9577,0.93872,0.49225,1.3389,1.13294,1.5952,0.000330233,0.000330233,0.000330233
83,2819.42,1.49641,1.4409,2.03017,0.91503,0.975,0.95951,0.49504,1.33172,1.16104,1.56171,0.000313729,0.000313729,0.000313729
84,2852.23,1.47055,1.42847,1.97778,0.92508,0.985,0.96378,0.48714,1.29069,1.18243,1.5978,0.000297226,0.000297226,0.000297226
85,2884.83,1.48028,1.44233,2.00074,0.90375,0.96822,0.93624,0.48303,1.29453,1.16468,1.61182,0.000280723,0.000280723,0.000280723
86,2917.32,1.45792,1.43341,1.97664,0.88818,0.96,0.91057,0.45783,1.36979,1.14356,1.67679,0.00026422,0.00026422,0.00026422
87,2950.06,1.44073,1.4148,1.97052,0.88631,0.955,0.91517,0.46143,1.36223,1.13496,1.69455,0.000247716,0.000247716,0.000247716
88,2982.66,1.48507,1.4328,1.99262,0.91296,0.98,0.95063,0.4698,1.34642,1.13276,1.6769,0.000231213,0.000231213,0.000231213
89,3015.21,1.44758,1.39503,1.97229,0.91563,0.98259,0.95922,0.49663,1.28926,1.14275,1.61457,0.00021471,0.00021471,0.00021471
90,3048.02,1.46237,1.35479,1.9515,0.9038,0.97784,0.96191,0.50128,1.24393,1.14923,1.62586,0.000198206,0.000198206,0.000198206
91,3080.42,1.442,1.45293,1.94552,0.90334,0.97304,0.95099,0.49697,1.23616,1.17654,1.64195,0.000181703,0.000181703,0.000181703
92,3112.63,1.35273,1.35332,1.8094,0.91008,0.89893,0.93907,0.47502,1.42544,1.16262,1.67392,0.0001652,0.0001652,0.0001652
93,3144.79,1.38793,1.27451,1.78875,0.92031,0.90283,0.94299,0.4939,1.33325,1.16284,1.64079,0.000148696,0.000148696,0.000148696
94,3176.82,1.349,1.26015,1.74315,0.93354,0.92841,0.96178,0.50046,1.2618,1.17887,1.61881,0.000132193,0.000132193,0.000132193
95,3208.97,1.34387,1.21691,1.73886,0.91617,0.93997,0.9397,0.50329,1.24821,1.19182,1.63024,0.00011569,0.00011569,0.00011569
