epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.081,3.37813,4.27982,4.19444,0.00206,0.63909,0.00987,0.00212,4.32223,4.29579,4.14297,0.00046676,0.00046676,0.00046676
2,284.257,2.88838,3.8255,3.81736,0.00222,0.68455,0.02443,0.00537,4.3775,4.19776,4.19006,0.000937647,0.000937647,0.000937647
3,441.993,2.69426,3.34131,3.43271,0.00215,0.66182,0.01215,0.00207,3.98905,4.02964,3.99469,0.00139577,0.00139577,0.00139577
4,598.801,2.6467,3.03698,3.26416,0.00804,0.84091,0.0604,0.01429,3.91089,3.96479,3.9921,0.00160099,0.00160099,0.00160099
5,753.412,2.56802,2.78272,3.12818,0.27508,0.32182,0.16096,0.02096,3.33432,5.18941,4.2278,0.00157898,0.00157898,0.00157898
6,909.613,2.42815,2.64252,2.96767,0.43068,0.65473,0.56441,0.29963,2.10016,2.5177,2.83159,0.00155698,0.00155698,0.00155698
7,1065.78,2.3015,2.40825,2.8264,0.49947,0.38364,0.45727,0.14846,2.66982,2.63761,3.15987,0.00153497,0.00153497,0.00153497
8,1228.74,2.1788,2.26235,2.71369,0.39728,0.75455,0.71542,0.34943,2.31083,2.69018,2.91422,0.00151297,0.00151297,0.00151297
9,1366.27,2.12962,2.16144,2.63868,0.75274,0.83455,0.86018,0.45672,2.17107,2.05432,2.78681,0.00149096,0.00149096,0.00149096
10,1485.89,2.06106,2.09011,2.59454,0.83105,0.79455,0.87245,0.53604,1.86663,1.92583,2.5649,0.00146896,0.00146896,0.00146896
11,1608.11,1.9246,1.91068,2.51594,0.66523,0.68909,0.7609,0.26761,3.22994,2.06946,3.91004,0.00144696,0.00144696,0.00144696
12,1726.07,1.91115,1.83651,2.45989,0.64586,0.63182,0.78124,0.36612,1.86618,1.8501,2.53926,0.00142495,0.00142495,0.00142495
13,1843.34,1.81323,1.7762,2.35646,0.82918,0.81241,0.88081,0.44547,2.02503,1.5944,2.73058,0.00140295,0.00140295,0.00140295
14,1954.74,1.79092,1.70747,2.32065,0.79891,0.64091,0.80476,0.42589,1.86955,1.57727,2.46666,0.00138094,0.00138094,0.00138094
