epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,2066.79,1.73089,1.58498,2.22849,0.78712,0.72091,0.86761,0.60953,1.73779,1.43296,2.2828,0.00135894,0.00135894,0.00135894
16,2179.94,1.70631,1.59084,2.2189,0.74812,0.74964,0.79823,0.30236,2.82185,1.58828,3.35972,0.00133693,0.00133693,0.00133693
17,2291.51,1.72136,1.52041,2.21528,0.80374,0.79818,0.92846,0.53147,1.69368,1.35818,2.33602,0.00131493,0.00131493,0.00131493
18,2404.69,1.64191,1.44568,2.13879,0.82945,0.80364,0.87962,0.54636,1.8097,1.1306,2.3757,0.00129293,0.00129293,0.00129293
19,2519.99,1.62603,1.47376,2.11405,0.94941,0.73545,0.92245,0.57174,1.57164,1.24285,2.38133,0.00127092,0.00127092,0.00127092
20,2632.43,1.63513,1.41925,2.12807,0.77282,0.36364,0.40345,0.25192,1.47025,1.89,2.14894,0.00124892,0.00124892,0.00124892
21,2741.45,1.57504,1.36966,2.07282,0.95308,0.78644,0.94636,0.60999,1.50147,1.27487,2.15066,0.00122691,0.00122691,0.00122691
22,2841.57,1.60261,1.32657,2.06439,0.9165,0.82297,0.92289,0.59388,1.33988,1.12613,2.06593,0.00120491,0.00120491,0.00120491
23,2940.56,1.64714,1.37019,2.14175,0.80345,0.93455,0.93337,0.58885,1.62617,1.0283,2.22445,0.0011829,0.0011829,0.0011829
24,3040.29,1.56612,1.26943,2.05154,0.74409,0.89664,0.90054,0.5664,1.44021,1.09502,2.09831,0.0011609,0.0011609,0.0011609
25,3139.59,1.50646,1.24343,2.03788,0.84416,0.92721,0.9646,0.63723,1.50918,1.03205,2.15305,0.00113889,0.00113889,0.00113889
26,3244.82,1.52162,1.18568,1.99922,0.90262,0.85279,0.94966,0.59446,1.58228,1.08905,2.17227,0.00111689,0.00111689,0.00111689
27,3352.38,1.52433,1.24468,1.99932,0.85456,0.78478,0.94048,0.50497,1.52087,1.11993,2.14648,0.00109489,0.00109489,0.00109489
28,3455.46,1.49092,1.20871,1.95961,0.89892,0.86356,0.94499,0.60211,1.53344,1.07504,2.19932,0.00107288,0.00107288,0.00107288
29,3555.13,1.44039,1.09757,1.92837,0.88155,0.95794,0.9751,0.6015,1.50381,1.0773,2.18908,0.00105088,0.00105088,0.00105088
30,3655.33,1.45121,1.04017,1.89946,0.81378,0.98,0.98724,0.64849,1.40568,0.88182,2.26238,0.00102887,0.00102887,0.00102887
31,3755,1.44535,1.05228,1.91724,0.92025,1,0.98436,0.6685,1.23879,0.91412,1.96153,0.00100687,0.00100687,0.00100687
32,3853.46,1.43142,1.07957,1.89765,0.80832,0.86134,0.88217,0.59063,1.43041,1.41816,2.20472,0.000984864,0.000984864,0.000984864
33,3952.28,1.41358,1.00592,1.88765,0.94869,0.9505,0.995,0.65815,1.36339,0.86239,2.14827,0.000962859,0.000962859,0.000962859
34,4050.85,1.44557,1.05351,1.91386,0.92881,0.96929,0.98799,0.70509,1.16508,0.72887,1.92527,0.000940855,0.000940855,0.000940855
35,4149.21,1.44552,1.04431,1.90702,0.97554,0.93182,0.98712,0.64473,1.50516,0.80176,2.43894,0.00091885,0.00091885,0.00091885
36,4247.91,1.42027,0.95815,1.88941,0.89409,0.85201,0.92321,0.59645,1.37748,1.07937,2.21532,0.000896846,0.000896846,0.000896846
37,4347.81,1.39249,0.98505,1.85103,0.81216,0.94987,0.97672,0.64481,1.39982,0.90727,2.13403,0.000874842,0.000874842,0.000874842
38,4446.34,1.38484,0.95921,1.84836,0.97077,0.97327,0.995,0.68381,1.43498,0.76389,2.00883,0.000852837,0.000852837,0.000852837
39,4546.96,1.36967,0.98967,1.84662,0.98851,1,0.995,0.71721,1.1619,0.72034,1.88776,0.000830833,0.000830833,0.000830833
40,4646.02,1.38618,0.9561,1.83335,0.94492,0.87407,0.97458,0.62406,1.30103,0.95626,2.11697,0.000808828,0.000808828,0.000808828
41,4745.95,1.40551,1.00318,1.85445,0.96078,0.84772,0.98669,0.68143,1.22516,0.81474,1.88568,0.000786824,0.000786824,0.000786824
42,4844.81,1.34531,0.9504,1.80349,0.94193,0.98,0.99224,0.68623,1.23376,0.75598,1.98719,0.00076482,0.00076482,0.00076482
43,4945.92,1.32853,0.93631,1.81325,0.94942,0.9206,0.9798,0.59264,1.40814,0.91852,2.17779,0.000742815,0.000742815,0.000742815
44,5045.15,1.38163,0.91998,1.8247,0.99695,1,0.995,0.68236,1.46492,0.69708,2.11224,0.000720811,0.000720811,0.000720811
45,5145.73,1.36103,0.92174,1.82887,0.94524,0.97442,0.99146,0.70705,1.19145,0.71901,1.88132,0.000698806,0.000698806,0.000698806
46,5245.07,1.33883,0.88237,1.80089,0.98765,1,0.995,0.72566,1.18119,0.67917,1.99811,0.000676802,0.000676802,0.000676802
47,5345.23,1.29396,0.82746,1.7816,0.94946,0.97727,0.98939,0.72066,1.09919,0.70305,1.90778,0.000654798,0.000654798,0.000654798
48,5445.19,1.33551,0.87366,1.78073,0.98721,0.98,0.99423,0.72343,1.29116,0.71966,2.09844,0.000632793,0.000632793,0.000632793
49,5544.26,1.31482,0.85772,1.77796,0.98684,1,0.995,0.73304,1.22334,0.64242,1.90805,0.000610789,0.000610789,0.000610789
50,5643.56,1.25751,0.86421,1.78556,0.99275,1,0.995,0.73929,1.14431,0.63261,1.98213,0.000588784,0.000588784,0.000588784
51,5748.16,1.31039,0.83483,1.75511,0.99416,1,0.995,0.71424,1.18181,0.66929,1.99017,0.00056678,0.00056678,0.00056678
52,5853.6,1.26872,0.83936,1.73867,0.9978,0.98471,0.995,0.63675,1.51381,0.74156,2.1486,0.000544776,0.000544776,0.000544776
53,5958.9,1.29024,0.82841,1.74581,0.97877,0.97727,0.99413,0.68849,1.20316,0.65495,1.97603,0.000522771,0.000522771,0.000522771
54,6063.92,1.27794,0.82486,1.74182,0.9919,1,0.995,0.70283,1.28828,0.70743,1.95295,0.000500767,0.000500767,0.000500767
55,6170.45,1.2618,0.80943,1.72007,0.99331,1,0.995,0.68068,1.31055,0.65881,2.08182,0.000478762,0.000478762,0.000478762
56,6276.35,1.26673,0.82068,1.72888,0.99824,0.99494,0.995,0.72367,1.11676,0.62717,1.92421,0.000456758,0.000456758,0.000456758
57,6379.89,1.23439,0.80896,1.7102,0.95065,0.95007,0.9922,0.70264,1.26318,0.69004,1.96684,0.000434754,0.000434754,0.000434754
58,6485.13,1.22351,0.74948,1.69235,0.98393,1,0.995,0.7152,1.24324,0.58341,1.94193,0.000412749,0.000412749,0.000412749
59,6588.89,1.26726,0.79142,1.7369,0.99059,0.97727,0.99413,0.69602,1.34372,0.60756,2.12582,0.000390745,0.000390745,0.000390745
60,6694.58,1.23647,0.76648,1.69794,0.99333,1,0.995,0.72652,1.21983,0.6115,1.97689,0.00036874,0.00036874,0.00036874
61,6799.31,1.20685,0.73694,1.68807,0.97717,1,0.995,0.72573,1.17802,0.65885,1.96997,0.000346736,0.000346736,0.000346736
62,6904.45,1.20243,0.73287,1.68195,0.98298,0.97727,0.99413,0.73239,1.22764,0.62649,2.02905,0.000324732,0.000324732,0.000324732
63,7009.81,1.227,0.75402,1.70724,0.98625,0.97292,0.99333,0.71749,1.26417,0.62296,1.92076,0.000302727,0.000302727,0.000302727
64,7115.25,1.21271,0.72824,1.65828,0.9848,1,0.995,0.69953,1.16787,0.61238,2.02958,0.000280723,0.000280723,0.000280723
65,7221.04,1.19706,0.74758,1.66943,0.98041,0.9857,0.995,0.74775,1.0724,0.58534,1.83899,0.000258718,0.000258718,0.000258718
66,7325.58,1.18817,0.57672,1.73471,0.95256,0.95787,0.99423,0.66652,1.50197,0.75803,2.45089,0.000236714,0.000236714,0.000236714
67,7431.48,1.18302,0.54577,1.66096,0.99309,0.99647,0.995,0.71358,1.29451,0.66548,1.97672,0.00021471,0.00021471,0.00021471
68,7535.69,1.12401,0.51433,1.67353,0.99428,1,0.995,0.74617,1.18053,0.59449,1.85186,0.000192705,0.000192705,0.000192705
69,7641.9,1.13442,0.51111,1.6653,0.95568,0.99979,0.99333,0.72156,1.12599,0.5854,1.97569,0.000170701,0.000170701,0.000170701
70,7746.84,1.12398,0.50438,1.6645,0.98959,0.97727,0.99333,0.71435,1.08608,0.60456,1.88462,0.000148696,0.000148696,0.000148696
71,7845.41,1.10805,0.50418,1.64534,0.98302,1,0.995,0.73247,1.09438,0.59698,1.89356,0.000126692,0.000126692,0.000126692
72,7944.45,1.09783,0.49657,1.61495,0.98895,1,0.995,0.73893,1.0842,0.60029,1.86954,0.000104688,0.000104688,0.000104688
73,8042.99,1.10284,0.49982,1.63077,0.97566,1,0.995,0.72935,1.08294,0.57359,1.89935,8.26832e-05,8.26832e-05,8.26832e-05
74,8142.21,1.07988,0.48667,1.63853,0.99306,1,0.995,0.7421,1.09522,0.56961,1.91456,6.06788e-05,6.06788e-05,6.06788e-05
75,8241.23,1.11411,0.49363,1.60118,0.99516,1,0.995,0.729,1.11215,0.57517,1.93164,3.86744e-05,3.86744e-05,3.86744e-05
