epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4625,3.31461,4.23405,4.25923,0.00176,0.58442,0.02101,0.00333,3.73666,4.31904,4.15975,0.00020004,0.00020004,0.00020004
2,69.1215,3.20542,4.121,4.11601,0.0022,0.70581,0.0213,0.0033,3.72623,4.30658,4.15928,0.000412624,0.000412624,0.000412624
3,100.574,2.84453,3.88987,3.95481,0.0022,0.68256,0.01314,0.00225,3.72433,4.25552,4.1618,0.000620917,0.000620917,0.000620917
4,132.491,2.63519,3.6928,3.70442,0.00215,0.65174,0.01615,0.00264,3.98464,4.28126,4.32529,0.00082492,0.00082492,0.00082492
5,164.504,2.47111,3.54525,3.50916,0.00164,0.54116,0.01157,0.00164,4.14546,4.25143,4.48624,0.00102463,0.00102463,0.00102463
6,196.417,2.53848,3.39244,3.39335,0.00211,0.35977,0.00676,0.0009,4.2422,4.22947,4.67259,0.00122005,0.00122005,0.00122005
7,228.618,2.40069,3.33252,3.16808,0.00088,0.31488,0.00323,0.00038,4.12016,4.65006,4.60875,0.00141118,0.00141118,0.00141118
8,260.375,2.37563,3.19212,3.1287,0.00221,0.25988,0.00475,0.0006,4.01907,4.12924,4.58175,0.00155148,0.00155148,0.00155148
9,295.256,2.32728,3.14279,3.02927,0.10334,0.1774,0.0491,0.01075,3.48117,8.9816,4.61421,0.00153497,0.00153497,0.00153497
10,335.681,2.36453,3.03501,3.01971,0.58364,0.43605,0.1726,0.0452,2.40422,9.25703,2.97939,0.00151847,0.00151847,0.00151847
11,377.148,2.27384,2.95143,2.935,0.59029,0.37791,0.22666,0.04415,2.61358,10.8069,3.2558,0.00150197,0.00150197,0.00150197
12,420.186,2.30762,2.81468,2.88842,0.09244,0.91,0.35859,0.12224,2.11214,32.7099,2.69189,0.00148546,0.00148546,0.00148546
13,459.112,2.26969,2.83203,2.88491,0.15886,0.695,0.36924,0.14782,1.74976,20.665,2.49903,0.00146896,0.00146896,0.00146896
14,498.948,2.25049,2.77877,2.85651,0.10476,0.7,0.24477,0.07857,2.39473,19.4188,2.62012,0.00145246,0.00145246,0.00145246
15,537.751,2.17889,2.7479,2.79535,0.18091,0.62919,0.25121,0.09071,1.8154,6.91127,2.30457,0.00143595,0.00143595,0.00143595
16,578.774,2.20151,2.66039,2.7769,0.25697,0.58503,0.2927,0.08951,2.40657,4.26128,2.44406,0.00141945,0.00141945,0.00141945
17,619.623,2.19318,2.59354,2.7309,0.13733,0.58349,0.21165,0.04788,2.62909,19.467,3.2685,0.00140295,0.00140295,0.00140295
18,660.883,2.06681,2.50552,2.66673,0.17499,0.6343,0.29361,0.06871,2.4843,7.69382,3.03069,0.00138644,0.00138644,0.00138644
19,702.134,2.10219,2.52044,2.6805,0.31718,0.89919,0.48849,0.15539,2.06488,2.17988,2.08016,0.00136994,0.00136994,0.00136994
20,743.228,2.03471,2.47327,2.58574,0.87093,0.38953,0.51493,0.20322,1.6395,6.13496,2.23092,0.00135344,0.00135344,0.00135344
21,784.644,2.01889,2.4516,2.60264,0.3495,0.50829,0.48715,0.19176,1.76041,2.61609,2.16092,0.00133693,0.00133693,0.00133693
22,826.187,1.90272,2.37466,2.48726,0.82044,0.37209,0.51015,0.20346,1.6596,2.52465,2.46012,0.00132043,0.00132043,0.00132043
23,867.553,2.00367,2.41893,2.56094,0.8593,0.31977,0.43274,0.17787,1.64378,2.92806,2.31378,0.00130393,0.00130393,0.00130393
24,908.667,1.91857,2.35833,2.48009,0.52315,0.7369,0.63761,0.27136,1.64451,2.22393,1.96729,0.00128742,0.00128742,0.00128742
25,949.973,1.86988,2.27208,2.41851,0.03051,1,0.49492,0.15786,2.04032,3.24804,2.38547,0.00127092,0.00127092,0.00127092
26,989.891,1.8869,2.27585,2.42578,0.17438,0.69523,0.25801,0.05561,2.49819,3.44216,2.61851,0.00125442,0.00125442,0.00125442
27,1030.36,1.89271,2.14294,2.48026,0.22648,0.34884,0.17861,0.0544,2.03991,3.05431,2.34115,0.00123791,0.00123791,0.00123791
28,1071.36,1.95176,2.24728,2.45874,0.40024,0.86767,0.5254,0.24127,1.70926,1.96284,1.90106,0.00122141,0.00122141,0.00122141
29,1111.9,1.84735,2.22464,2.44684,0.31137,0.50895,0.55925,0.22401,1.58777,2.07319,2.27773,0.00120491,0.00120491,0.00120491
30,1152.4,1.85053,2.12637,2.42324,0.61955,0.74978,0.75836,0.32594,1.44878,1.84243,2.08868,0.0011884,0.0011884,0.0011884
31,1193.46,1.84501,2.08244,2.4123,0.76389,0.41279,0.51949,0.213,1.59425,4.15625,2.19637,0.0011719,0.0011719,0.0011719
32,1234.28,1.83942,2.11644,2.36637,0.40836,0.63577,0.51949,0.22473,1.57766,1.99174,1.9469,0.0011554,0.0011554,0.0011554
33,1275.14,1.82243,2.01329,2.36278,0.3935,0.72337,0.63098,0.28597,1.48677,1.9542,1.91157,0.00113889,0.00113889,0.00113889
34,1315.83,1.77169,2.0505,2.3351,0.424,0.71919,0.63577,0.3049,1.42798,2.44461,1.99813,0.00112239,0.00112239,0.00112239
35,1356.51,1.77743,2.05546,2.38183,0.46321,0.84919,0.73004,0.30879,1.56796,1.95075,1.87061,0.00110589,0.00110589,0.00110589
36,1397.31,1.74965,2.01743,2.32233,0.69137,0.72013,0.79473,0.38349,1.49412,1.69278,1.78201,0.00108938,0.00108938,0.00108938
37,1438.22,1.72909,1.93004,2.29155,0.68137,0.75047,0.79328,0.39299,1.4162,1.56661,1.84669,0.00107288,0.00107288,0.00107288
38,1479,1.77762,1.97843,2.30327,0.58561,0.78846,0.84272,0.29775,1.99279,2.02184,2.25545,0.00105638,0.00105638,0.00105638
39,1519.62,1.71059,1.85869,2.24875,0.63558,0.9493,0.84232,0.37515,1.53368,1.65575,2.04351,0.00103987,0.00103987,0.00103987
40,1559.97,1.7732,1.90908,2.28222,0.52352,0.69256,0.7316,0.32195,1.5261,2.0431,2.00709,0.00102337,0.00102337,0.00102337
41,1600.13,1.73435,1.83099,2.26368,0.55093,0.63849,0.51409,0.17216,1.74299,2.83451,2.03613,0.00100687,0.00100687,0.00100687
42,1640.76,1.75243,1.87902,2.29265,0.69266,0.405,0.55876,0.2791,1.42894,2.94922,1.7944,0.000990365,0.000990365,0.000990365
43,1681.17,1.71863,1.81385,2.30156,0.57799,0.69407,0.61979,0.28113,1.5849,1.86048,2.07747,0.000973861,0.000973861,0.000973861
44,1721.84,1.68795,1.80618,2.25953,0.68928,0.62407,0.6248,0.12516,2.23964,2.52042,2.65497,0.000957358,0.000957358,0.000957358
45,1762.07,1.70039,1.81052,2.24871,0.73253,0.74337,0.84056,0.41492,1.50565,1.54929,1.76656,0.000940855,0.000940855,0.000940855
46,1802.23,1.72075,1.7289,2.22167,0.75255,0.8407,0.7626,0.32964,1.67506,1.76672,2.11333,0.000924352,0.000924352,0.000924352
47,12193.6,1.72008,1.75708,2.20023,0.64597,0.83103,0.67314,0.29447,1.50366,1.59474,2.0784,0.000907848,0.000907848,0.000907848
48,12234.2,1.70519,1.66153,2.17501,0.81418,0.88627,0.87903,0.40809,1.6019,1.41905,1.89464,0.000891345,0.000891345,0.000891345
49,12272.6,1.67698,1.72128,2.18868,0.82596,0.93919,0.91634,0.4025,1.76399,1.29497,1.9335,0.000874842,0.000874842,0.000874842
50,12313.3,1.63435,1.67807,2.15313,0.83657,0.92,0.88923,0.40267,1.73704,1.2374,1.82147,0.000858338,0.000858338,0.000858338
51,12353.9,1.61488,1.70984,2.15424,0.8381,0.93,0.89981,0.45087,1.34721,1.58934,1.70889,0.000841835,0.000841835,0.000841835
